query_id,supplier_id,industry,archetype,price,lead_time,quality_acceptance_rate,defect_rate,on_time_delivery_rate,past_performance_score,responsiveness_score,financial_stability_score,fulfillment_rate,capacity_reliability_score,has_iso_9001,geo_risk_score,relevance
695,695_7,chemicals,balanced,130.56,19,0.929,0.001,0.954,83.3,4.58,4.41,0.752,4.12,1,1.99,3
695,695_8,chemicals,specialist,158.11,16,1,0.011,0.938,76.7,4.35,3.87,0.914,1.8,1,1.68,2
695,695_9,chemicals,premium,150.09,13,1,0.001,0.931,84.7,4.68,5,0.971,2.16,1,3.86,3
696,696_1,materials,premium,124.15,15,0.989,0.001,0.99,86.6,4.59,4.16,0.756,4.71,1,2.18,3
696,696_2,materials,balanced,72.86,17,0.968,0.022,0.894,84.3,4.27,3.8,0.972,3.76,0,1.01,2
696,696_3,materials,premium,137.57,13,1,0.001,0.953,80.2,4.86,3.9,0.813,3.1,0,3.46,2
696,696_4,materials,balanced,83.36,24,1,0.001,0.946,83.8,4.26,4.29,0.793,2.91,0,2.59,3
696,696_5,materials,budget,55.01,19,0.947,0.034,0.867,83.8,4.38,3.61,0.837,1.93,0,1.23,2
697,697_1,chemicals,specialist,134.78,9,1,0.001,0.976,82.8,4.89,4.73,0.827,3.69,0,2.17,3
697,697_2,chemicals,premium,172.76,12,1,0.001,0.917,78,4.6,4.27,0.907,2.72,1,2.28,3
697,697_3,chemicals,balanced,125.26,19,0.983,0.001,0.923,80.7,4.27,4.18,0.78,2.45,1,2.86,3
697,697_4,chemicals,balanced,126.07,22,0.974,0.01,0.949,84.7,4.14,4.65,0.857,2.33,1,4.16,3
697,697_5,chemicals,specialist,153.64,18,0.997,0.001,0.945,81.5,5,3.98,0.832,3.85,1,4.67,3
697,697_6,chemicals,specialist,131.25,16,1,0.001,0.934,87.5,4.43,4.73,0.889,1.13,1,3.07,3
697,697_7,chemicals,budget,51.48,19,0.975,0.055,0.85,79.5,3.84,3.52,0.865,3.9,1,2.04,4
697,697_8,chemicals,specialist,149.16,15,0.961,0.001,0.93,92.9,4.09,3.9,0.92,2.87,1,2.5,4
697,697_9,chemicals,premium,172.85,13,1,0.001,0.919,94.4,4.79,3.48,0.799,2.69,1,2.64,3
697,697_10,chemicals,specialist,127.12,14,0.998,0.005,0.952,86.6,4.67,4.96,0.831,2.74,1,2.61,2
698,698_1,electronics,budget,121.7,12,0.9,0.065,0.902,89.4,3.55,4.77,0.844,2.57,1,2.07,3
698,698_2,electronics,specialist,258.8,11,0.994,0.001,0.916,80.5,4.35,3.78,0.869,3.76,1,3.87,4
698,698_3,electronics,budget,125.35,14,0.946,0.055,0.855,75,3.67,3.84,0.895,4.39,0,3.94,1
698,698_4,electronics,specialist,255.83,6,0.992,0.001,0.93,75,4.37,3.55,0.871,3.01,1,3.33,0
698,698_5,electronics,specialist,239.47,10,1,0.001,0.948,93.3,4.5,4.52,0.769,4.67,1,3.12,2
698,698_6,electronics,specialist,234.8,11,1,0.001,0.919,80.2,4.66,3.82,0.829,4.18,0,2.76,4
698,698_7,electronics,specialist,274.2,10,0.982,0.001,0.945,79.1,4.58,3.46,0.784,3.3,1,2.67,3
698,698_8,electronics,budget,181.51,14,0.901,0.045,0.899,85.3,4.18,2.81,0.921,1.75,1,3.43,4
698,698_9,electronics,specialist,218.01,12,1,0.001,0.957,89.1,4.44,4.36,0.916,2.77,1,2.59,0
698,698_10,electronics,specialist,250.32,7,0.977,0.001,0.981,83.6,4.71,4.4,0.837,2.97,0,2.1,1
699,699_1,automotive,balanced,160.51,11,0.962,0.022,0.924,85,4.3,3.13,0.886,3.83,1,2.03,3
699,699_2,automotive,budget,96.24,20,0.9,0.042,0.892,92.2,4.36,5,0.881,3.19,0,1.57,3
699,699_3,automotive,budget,78.66,17,0.9,0.059,0.855,83.4,4.38,4.16,0.835,2.16,0,2.49,3
699,699_4,automotive,premium,200.62,8,1,0.001,0.99,78.8,4.86,5,0.819,2.33,1,1.92,2
699,699_5,automotive,budget,110.79,21,0.959,0.091,0.867,91,3.95,3.55,0.876,1.55,0,2.59,1
699,699_6,automotive,balanced,123.58,10,0.948,0.035,0.926,83.9,4.12,4.44,0.929,2.65,1,2.67,1
699,699_7,automotive,premium,192.59,14,1,0.001,0.943,87.5,5,4.21,0.761,2.68,1,3,4
700,700_1,machinery,budget,241.84,24,0.922,0.055,0.906,84,4.22,4.03,0.889,4.09,1,3.45,3
700,700_2,machinery,balanced,259.93,23,1,0.018,0.929,82.3,4.24,4.4,0.813,2.14,0,3.17,2
700,700_3,machinery,specialist,391.34,18,0.995,0.001,0.924,87.5,4.1,4.77,0.864,4.09,1,1.65,0
700,700_4,machinery,balanced,306.25,25,0.901,0.029,0.922,85.2,4.58,3.07,0.847,3.48,1,2.39,4
700,700_5,machinery,premium,391.04,22,1,0.001,0.973,84.8,4.63,4.32,0.919,2.04,0,4.61,3
700,700_6,machinery,specialist,343.87,17,1,0.001,0.935,76.4,4.58,3.81,0.906,3.46,0,1,4
700,700_7,machinery,premium,410.5,17,1,0.001,0.963,90.7,3.83,4.78,0.823,3.79,0,4.89,1
700,700_8,machinery,specialist,388.3,20,0.996,0.001,0.913,82.7,4.58,3.22,0.928,4.17,1,2.48,2
700,700_9,machinery,premium,419.74,21,1,0.001,0.93,79.1,5,4.2,0.832,2.29,1,2.77,3
700,700_10,machinery,premium,357.45,22,1,0.001,0.93,81.8,4.38,4.36,0.848,2.87,1,2.61,3
701,701_1,materials,specialist,98.79,12,0.984,0.001,0.952,84.8,4.76,4.94,0.853,4.43,1,2.7,3
701,701_2,materials,budget,60.06,23,0.97,0.068,0.872,89.4,3.86,3.62,0.824,3.15,1,3.59,3
701,701_3,materials,premium,90.81,19,1,0.001,0.983,83.5,5,3.32,0.816,2.52,1,4.36,3
701,701_4,materials,balanced,65.56,15,0.979,0.001,0.922,84.6,4.21,4.35,0.882,3.14,1,2.23,3
701,701_5,materials,budget,68.31,26,0.959,0.082,0.85,91,4.37,3.74,0.892,3.32,0,2.74,4
701,701_6,materials,budget,55.88,22,0.9,0.064,0.85,81.8,4.07,3.68,0.924,3.62,1,1,2
701,701_7,materials,budget,63.26,26,0.961,0.077,0.856,81.6,4.55,3.67,0.835,2.82,1,2.3,4
701,701_8,materials,premium,81.62,11,1,0.001,0.962,85.4,4.94,4.96,0.899,3.72,0,2.41,0
701,701_9,materials,specialist,99.25,14,0.985,0.001,0.958,90.3,4.76,3.36,0.914,1.66,0,2.49,3
701,701_10,materials,budget,70.85,26,0.93,0.048,0.85,78.6,3.86,4.67,0.899,3.27,0,1.98,2
702,702_1,machinery,premium,410.01,24,1,0.001,0.96,79.4,4.47,3.73,0.822,1.91,1,2.42,3
702,702_2,machinery,premium,432.48,16,1,0.001,0.983,82,5,4.23,0.914,2.89,1,2.18,1
702,702_3,machinery,balanced,264.33,18,0.994,0.028,0.881,79.1,3.52,4.1,0.865,3.03,1,3.19,3
702,702_4,machinery,premium,407.59,20,1,0.001,0.922,84.4,4.55,4.86,0.96,4.2,1,2.82,2
702,702_5,machinery,premium,350.92,22,1,0.001,0.936,93,4.91,4.82,0.931,1.76,1,3.41,3
702,702_6,machinery,specialist,391.39,17,0.992,0.001,0.925,85.1,4.33,4.31,0.942,2.13,0,4.02,4
703,703_1,electronics,specialist,219.9,12,1,0.001,0.944,75,4.58,5,0.911,4.04,1,3.33,2
703,703_2,electronics,budget,190.11,17,0.924,0.081,0.866,87.4,4.16,5,0.886,4.11,0,4.37,3
703,703_3,electronics,budget,163.26,16,0.932,0.068,0.85,85.2,4.48,4.69,0.845,1.25,0,1,2
703,703_4,materials,premium,132,14,1,0.001,0.954,85.6,5,4.73,0.813,3.33,1,1.61,3
703,703_5,electronics,balanced,192.81,15,0.945,0.043,0.904,81.8,4.8,4.16,0.849,3.22,1,1.59,3
703,703_6,materials,specialist,96.43,13,1,0.001,0.906,88.1,4.38,4.1,0.859,4.96,0,2.88,2
703,703_7,materials,balanced,66.72,15,0.961,0.001,0.927,91.2,4.39,3.9,0.87,4.15,1,3.05,3
703,703_8,materials,specialist,112.46,17,0.973,0.001,0.928,91.9,4.62,4.41,0.828,4.32,0,2.47,4
703,703_9,electronics,premium,281.97,5,1,0.001,0.986,85.6,5,5,0.906,3.44,1,1.89,2
704,704_1,machinery,premium,417.83,24,1,0.001,0.939,85.5,4.53,4.5,0.781,2.94,0,1.08,3
704,704_2,machinery,specialist,363.33,19,0.978,0.001,0.964,78.1,3.88,4.54,0.846,5,1,2.72,4
704,704_3,electronics,specialist,195.43,9,0.998,0.001,0.911,92.6,5,4.43,0.819,2.69,1,2.15,2
704,704_4,machinery,specialist,342.87,23,1,0.001,0.917,82.6,4.3,4.25,0.878,3.35,1,1.8,2
704,704_5,machinery,balanced,300.44,26,0.998,0.018,0.925,85.8,4.24,4.79,0.892,1.85,0,2.01,2
705,705_1,materials,premium,91.45,15,1,0.001,0.936,91.4,4.79,4.09,0.905,3.34,1,4.06,3
705,705_2,materials,budget,59.84,32,0.9,0.076,0.868,87.6,4.04,4.15,0.873,2.17,1,3.56,4
705,705_3,materials,balanced,54,19,0.95,0.023,0.936,92.5,4.36,3.46,0.833,1.47,0,1.25,3
705,705_4,materials,specialist,92.71,16,1,0.001,0.943,83.7,4.46,3.69,0.907,2.74,1,2.73,3
705,705_5,materials,premium,109.59,15,1,0.001,0.958,83,4.93,4.66,0.864,1,1,1.98,4
705,705_6,materials,specialist,115.59,16,0.987,0.001,0.944,79.5,4.27,4.06,0.889,4.59,1,2.19,3
705,705_7,materials,budget,15.97,23,0.968,0.041,0.907,87.8,4.25,3.64,0.875,2.9,1,2.8,4
705,705_8,materials,balanced,91.23,14,0.972,0.004,0.902,75,4.13,4.06,0.81,2.05,1,2.48,3
705,705_9,materials,balanced,61.92,19,0.933,0.018,0.938,83.4,4.44,4.17,0.859,3.37,0,2.48,3
705,705_10,materials,specialist,105.16,16,1,0.001,0.958,83.3,4.14,4.93,0.76,4.12,1,4.08,3
706,706_1,electronics,balanced,214.64,10,0.971,0.008,0.934,75.4,3.99,3.36,0.853,1.23,1,1.91,4
706,706_2,automotive,budget,96.26,17,0.925,0.045,0.875,88.2,4.02,3.87,0.828,2.36,0,1.77,2
706,706_3,automotive,premium,198.97,16,1,0.001,0.953,76.4,5,4.54,0.844,2.02,1,3.47,3
706,706_4,automotive,specialist,180.58,8,1,0.001,0.913,81.6,4.08,3.42,0.848,1.83,1,2.58,1
706,706_5,automotive,balanced,140.29,13,1,0.007,0.916,78.8,4.2,4.01,0.817,3.47,1,1,4
706,706_6,electronics,budget,186.02,12,0.936,0.03,0.85,84.2,3.61,3.4,0.828,3.47,1,3.26,3
706,706_7,automotive,balanced,134.53,19,0.972,0.004,0.873,89.8,4.65,3.81,0.824,1.97,0,2.76,3
706,706_8,automotive,balanced,181.65,17,0.968,0.031,0.933,78.1,5,4.12,0.764,3.04,1,3,3
707,707_1,automotive,premium,168.38,13,1,0.001,0.922,83.4,4.61,4.62,0.844,3.45,1,3.05,2
707,707_2,chemicals,premium,162.98,15,1,0.001,0.921,89.1,4.46,3.71,0.808,3.59,1,1.87,3
707,707_3,chemicals,premium,195.63,10,1,0.001,0.963,85.5,5,4.2,0.9,3.17,1,2.11,3
707,707_4,automotive,specialist,191.55,7,1,0.001,0.959,81.9,4.48,4.95,0.86,3.2,1,3.18,1
707,707_5,automotive,specialist,170.94,13,0.996,0.001,0.932,85.1,4.56,4.88,0.866,5,0,2.48,4
708,708_1,electronics,budget,193.83,16,0.905,0.078,0.891,75,4.08,4.43,0.833,4.04,1,3.17,3
708,708_2,electronics,specialist,222.75,11,0.981,0.001,0.91,92.2,4.46,4.43,0.895,2.2,0,4.52,2
708,708_3,electronics,balanced,190.79,9,0.953,0.008,0.929,89.4,4.53,4.03,0.88,3.96,1,1.74,2
708,708_4,electronics,budget,183.49,13,0.946,0.04,0.871,84.9,4.12,3.95,0.833,3.53,0,2.55,3
708,708_5,electronics,balanced,169.85,12,0.962,0.001,0.915,88.2,4.13,4.28,0.833,1.12,1,2.24,0
708,708_6,electronics,balanced,191.16,13,0.97,0.023,0.893,88.9,4.17,4.2,0.81,2.86,1,2.04,2
708,708_7,electronics,budget,117.21,13,0.9,0.034,0.912,83.9,4.47,3.32,0.776,1,1,2.32,2
708,708_8,electronics,budget,141.01,12,0.931,0.05,0.891,92.6,3.63,4.42,0.779,1.27,1,2.1,3
708,708_9,electronics,specialist,246.23,7,0.998,0.001,0.933,76,4.13,3.48,0.836,4.17,1,2.78,2
708,708_10,electronics,balanced,193.84,4,0.953,0.006,0.902,89.7,4.03,5,0.887,4.6,1,2.04,3
709,709_1,electronics,balanced,168.12,13,0.938,0.022,0.922,97.7,4.23,4.4,0.882,1.74,1,2.08,4
709,709_2,electronics,balanced,193.71,14,0.973,0.016,0.885,85.9,4.22,3.71,0.802,2.71,1,1.46,4
709,709_3,electronics,specialist,208.24,8,0.998,0.001,0.938,76.8,4.68,3.88,0.784,2.57,1,2.62,0
709,709_4,electronics,specialist,222.34,9,1,0.001,0.939,83.8,4.31,4.62,0.852,2.82,0,2.36,2
709,709_5,electronics,specialist,243.24,10,0.955,0.001,0.891,83.4,3.75,5,0.834,2.09,1,3.16,0
709,709_6,electronics,specialist,257.67,9,0.992,0.007,0.93,87.2,4.29,4.32,0.923,2.78,1,3.66,4
709,709_7,electronics,budget,168.36,11,0.9,0.008,0.897,78.3,3.97,3.74,0.811,3.96,1,1.97,4
709,709_8,electronics,specialist,250.3,14,1,0.001,0.946,82,4.33,3.81,0.85,1.94,0,3.16,2
710,710_1,electronics,balanced,200.16,11,0.965,0.001,0.924,91.9,4.54,4.12,0.844,2.69,1,1.97,3
710,710_2,electronics,budget,123.93,12,0.939,0.077,0.85,80.9,3.79,3.8,0.891,1.63,1,3,2
710,710_3,chemicals,specialist,184.39,24,1,0.001,0.944,87.1,4.68,4.43,0.811,2.84,0,3.36,2
710,710_4,chemicals,budget,57.48,23,0.9,0.07,0.861,91.8,3.7,3.3,0.859,1,1,1.6,2
710,710_5,electronics,specialist,259.03,12,0.98,0.001,0.945,81.9,5,3.88,0.935,4.68,1,2.65,2
710,710_6,electronics,specialist,242.27,9,1,0.001,0.931,88.8,4.24,3.92,0.821,2.69,1,2.12,2
710,710_7,electronics,specialist,250.27,12,0.995,0.001,0.911,91.4,4.56,4.41,0.852,2.3,1,4.58,3
710,710_8,chemicals,specialist,134.42,18,1,0.001,0.91,80.1,3.6,4.32,0.826,2.81,0,2.07,3
710,710_9,electronics,balanced,193.18,17,0.984,0.017,0.913,78.5,4.63,3.66,0.837,4.05,1,1.97,3
711,711_1,electronics,specialist,244.04,8,0.982,0.001,0.919,82.4,4.08,4.85,0.8,2.68,1,3.11,2
711,711_2,electronics,specialist,282.17,4,0.987,0.001,0.957,76.3,4.7,3.75,0.748,3.44,1,3.36,3
711,711_3,electronics,balanced,197.96,12,0.954,0.024,0.883,89.9,3.79,3.98,0.893,3.63,1,3.12,3
711,711_4,electronics,balanced,227.48,9,0.996,0.003,0.928,82.8,4.38,3.66,0.826,3.53,1,1.68,3
711,711_5,electronics,balanced,193.09,10,0.969,0.003,0.924,97.4,3.73,4.07,0.92,2.11,1,3.75,3
711,711_6,electronics,balanced,218.7,13,0.98,0.013,0.924,81.4,4.43,4.47,0.821,1.9,0,3.61,3
711,711_7,electronics,specialist,234.1,10,0.979,0.001,0.941,87.9,4.58,4.82,0.775,1.82,1,3.49,3
711,711_8,electronics,specialist,245.44,10,0.966,0.001,0.903,88.4,4.63,4.84,0.867,2.92,0,1.9,2
711,711_9,electronics,balanced,187.73,15,0.932,0.022,0.903,87.9,4.22,4.18,0.903,1.29,0,1.4,4
712,712_1,materials,premium,78.91,17,1,0.001,0.939,85.1,4.48,4.77,0.876,3.78,0,3.64,3
712,712_2,materials,premium,114.78,12,1,0.001,0.975,85.4,5,4.79,0.802,2.85,1,3.8,3
712,712_3,materials,premium,113.95,11,1,0.001,0.989,81.1,4.18,3.83,0.824,3.26,1,2.28,1
712,712_4,materials,budget,72.21,24,0.9,0.073,0.906,82.6,3.65,4.12,0.851,3.47,0,2.04,3
712,712_5,materials,budget,81.06,22,0.905,0.048,0.885,77.8,4.09,3.08,0.727,2.43,0,3.48,3
712,712_6,materials,balanced,95,19,0.988,0.013,0.913,88.2,4.15,4.31,0.825,3.17,1,2.2,2
712,712_7,materials,balanced,77.28,21,0.953,0.003,0.909,86.3,4.18,4.64,0.761,4.27,1,3.78,3
712,712_8,materials,premium,115.12,13,1,0.001,0.943,89.9,4.77,4.57,0.866,2.93,1,2.53,3
713,713_1,chemicals,specialist,148.93,20,0.988,0.001,0.932,85.7,4.3,3.88,0.847,4.41,1,1,3
713,713_2,chemicals,balanced,147.66,13,0.936,0.035,0.908,75,4.64,3.79,0.822,3.34,1,4.12,3
713,713_3,chemicals,budget,52.71,12,0.907,0.047,0.866,93.2,3.83,3.72,0.889,2.95,1,1.64,3
713,713_4,chemicals,balanced,122.24,15,0.976,0.027,0.9,81.6,4.52,3.76,0.731,3.16,0,3.11,1
713,713_5,chemicals,balanced,122.5,15,0.965,0.025,0.927,87.1,4.59,5,0.786,2.73,0,2.05,2
713,713_6,chemicals,premium,144.8,13,1,0.001,0.937,90.4,4.44,3.85,0.847,4.13,1,3.6,4
713,713_7,chemicals,balanced,121.24,21,0.951,0.007,0.939,75.5,3.99,4.39,0.874,4,1,1,3
714,714_1,machinery,balanced,259.66,32,0.983,0.032,0.923,79.3,4.46,4.39,0.816,3.26,0,3.4,2
714,714_2,machinery,balanced,276.08,24,0.958,0.007,0.921,82.8,3.93,4.1,0.886,2.86,1,2.67,3
714,714_3,machinery,premium,427.39,21,1,0.001,0.957,79.8,4.64,4.16,0.89,3.03,0,2.16,2
714,714_4,machinery,balanced,331.51,23,0.9,0.014,0.907,83.4,4.12,4.28,0.969,3.51,1,2.97,0
714,714_5,machinery,specialist,364.64,23,0.966,0.001,0.949,84.9,4.52,4.56,0.957,2.15,1,4.67,2
714,714_6,machinery,specialist,383.72,23,1,0.001,0.926,76.7,4.34,4.67,0.874,1.78,1,4.07,1
714,714_7,machinery,premium,361.45,19,1,0.001,0.982,83.9,4.99,4.31,0.883,1.05,1,3.19,1
714,714_8,machinery,specialist,330.44,19,1,0.001,0.938,84.4,4.71,4.27,0.857,2.65,0,3.32,0
714,714_9,machinery,specialist,343.81,19,0.972,0.001,0.903,87.8,3.71,4.73,0.88,2.35,1,2.5,2
714,714_10,machinery,specialist,381.74,22,1,0.001,0.93,84.2,4.87,4.2,0.903,2.03,0,1.52,3
715,715_1,materials,premium,101.14,11,0.99,0.001,0.968,89.8,4.8,3.49,0.823,3.43,1,1.94,2
715,715_2,materials,premium,120.31,16,1,0.001,0.98,78.4,4.93,4.11,0.931,3.29,1,1.15,4
715,715_3,materials,balanced,112.59,12,0.971,0.018,0.925,82.4,4.41,4.48,0.885,2.95,1,1.23,4
715,715_4,materials,specialist,118.84,11,0.961,0.001,0.97,91.1,4.93,3.46,0.823,2.05,1,1.21,4
715,715_5,materials,premium,112.86,17,0.997,0.001,0.926,85.5,5,4.65,0.759,3.83,1,1.68,2
715,715_6,materials,budget,53.82,24,0.935,0.03,0.861,83.7,4.01,3.32,0.862,2.51,0,3.58,3
715,715_7,materials,premium,117.65,10,0.946,0.001,0.964,86,4.52,4.84,0.864,4.56,1,2.92,3
715,715_8,materials,specialist,94.43,16,0.982,0.001,0.98,81.4,4.61,3.99,0.854,2.58,1,3.2,4
715,715_9,materials,specialist,101.85,19,1,0.001,0.931,91.4,4.3,4.97,0.769,4.46,0,3.22,2
716,716_1,materials,budget,80.7,23,0.955,0.033,0.875,87.1,4.33,3.14,0.899,1.69,0,2.57,3
716,716_2,materials,specialist,108.37,9,0.98,0.001,0.935,94.5,4.47,3.7,0.924,4.76,0,2.42,4
716,716_3,materials,balanced,87.38,17,0.927,0.026,0.931,84.9,4.33,3.62,0.802,4.11,0,3.81,2
716,716_4,materials,balanced,77.15,23,0.976,0.006,0.919,81.2,4.51,4.67,0.834,2.65,1,3.08,3
716,716_5,materials,budget,47.73,20,0.905,0.027,0.86,90,4.06,3.34,0.977,2.43,0,2.15,4
716,716_6,materials,specialist,100.9,15,1,0.001,0.898,89.5,4.55,3.65,0.859,3.43,1,2.14,2
716,716_7,materials,premium,104.66,14,1,0.001,0.91,86.4,4.81,4.65,0.767,4.63,1,3.29,2
717,717_1,machinery,budget,190.28,33,0.917,0.027,0.85,85.2,4.03,3.89,0.828,3.36,1,2.28,2
717,717_2,machinery,balanced,273.43,24,1,0.001,0.928,75.7,4.15,4.48,0.926,3.51,1,2.76,4
717,717_3,machinery,premium,445.94,18,1,0.001,0.962,79.2,4.66,4.54,0.818,3.83,0,4.72,3
717,717_4,machinery,specialist,370.33,25,0.956,0.001,0.947,90.4,4.62,3.95,0.877,3.15,1,3,3
717,717_5,machinery,specialist,398.62,18,1,0.013,0.961,89.2,4.43,3.63,0.924,2.84,1,2.09,4
717,717_6,machinery,specialist,372.29,21,0.99,0.001,0.964,88.4,4.2,4.26,0.903,2.42,1,2.94,3
717,717_7,machinery,budget,211.18,27,0.904,0.052,0.895,83.7,4.12,3.12,0.823,1.48,0,3.46,3
717,717_8,machinery,budget,230.21,32,0.951,0.055,0.86,78.9,3.89,4.46,0.821,1.77,1,3.44,3
717,717_9,machinery,specialist,413.84,18,0.992,0.015,0.926,82,4.25,3.83,0.7,2.56,1,2.1,3
717,717_10,machinery,budget,224.75,35,0.921,0.067,0.85,87.1,3.99,4.08,0.812,2.97,1,1.68,3
718,718_1,electronics,budget,120.89,17,0.95,0.05,0.863,89,4.59,4.28,0.82,3.54,0,1.76,3
718,718_2,electronics,premium,296.73,5,1,0.001,0.888,84.2,5,4.93,0.906,2.65,1,2.46,3
718,718_3,electronics,premium,278.57,9,1,0.001,0.983,84.3,5,4.37,0.817,3.69,1,2.53,3
718,718_4,electronics,premium,272.19,9,0.999,0.001,0.94,93.6,4.68,4.36,0.885,2.17,0,1,2
718,718_5,materials,balanced,87.82,23,0.947,0.001,0.91,77.5,3.97,3.76,0.766,1.98,0,4.62,3
718,718_6,materials,balanced,50.46,19,0.974,0.011,0.905,86.1,4.5,4.56,0.856,2.1,1,4.05,2
718,718_7,materials,balanced,76.68,18,0.946,0.042,0.903,90.5,4.53,4.23,0.83,4.27,1,2.39,4
719,719_1,chemicals,premium,181.22,11,0.999,0.008,0.947,84.7,4.86,4.93,0.87,1.85,1,1.96,0
719,719_2,chemicals,premium,168.26,10,1,0.001,0.962,90.7,5,4.96,0.856,2.85,1,2.6,4
719,719_3,chemicals,budget,105.12,19,0.933,0.063,0.862,87,3.51,3.83,0.894,3.39,1,1.5,3
719,719_4,chemicals,balanced,129.98,14,0.984,0.032,0.894,92.9,4.02,4.15,0.867,2.25,1,2.94,3
719,719_5,chemicals,budget,105.96,23,0.916,0.049,0.897,85.3,3.84,3.54,0.85,2.22,0,1.25,3
719,719_6,chemicals,premium,152.78,11,1,0.001,0.99,84.1,4.25,4.74,0.815,3.24,1,1.46,3
720,720_1,electronics,premium,260.79,9,0.992,0.001,0.967,88.8,3.92,5,0.905,2.22,1,3.52,0
720,720_2,electronics,premium,248.78,7,1,0.001,0.952,86.5,4.69,4.73,0.909,1,1,3.58,3
720,720_3,automotive,balanced,146.38,14,0.974,0.001,0.918,88.7,4.32,4.08,0.843,3.74,0,2.68,3
720,720_4,electronics,premium,311.65,13,1,0.001,0.976,75.4,5,3.82,0.866,1,1,2.59,3
720,720_5,electronics,specialist,202.3,5,1,0.001,0.956,88.5,4.36,4.81,0.78,4.6,1,3.03,3
720,720_6,automotive,balanced,133.86,11,0.967,0.021,0.897,85.3,4.41,3.66,0.861,2.32,1,4.63,2
721,721_1,machinery,specialist,375.86,19,0.998,0.001,0.902,81.3,4.68,4.41,0.935,3.14,1,1.59,2
721,721_2,machinery,premium,391.35,19,1,0.001,0.958,85.7,5,3.68,0.896,3.24,1,3.12,4
721,721_3,machinery,balanced,333.47,24,0.951,0.001,0.919,85.5,4.45,3.28,0.826,3.68,0,3.57,3
721,721_4,machinery,premium,418.67,20,1,0.001,0.988,87.9,4.38,4.75,0.881,3.28,1,1.54,2
721,721_5,machinery,balanced,281.72,21,0.917,0.002,0.94,87.6,3.93,4.14,0.866,3.31,1,2.57,3
721,721_6,machinery,balanced,297.13,28,0.985,0.026,0.91,87.6,4.08,3.83,0.825,1.48,1,3.75,3
722,722_1,electronics,premium,296.52,10,1,0.001,0.948,80.7,4.78,3.33,0.792,1.55,1,3.1,3
722,722_2,electronics,balanced,229.42,15,0.975,0.027,0.893,84.3,4.27,3.87,0.902,2.41,0,1.8,3
722,722_3,electronics,balanced,207.76,9,0.969,0.02,0.891,86.9,4.1,3.54,0.805,1.54,1,3.12,3
722,722_4,electronics,specialist,221.52,10,0.989,0.001,0.944,91,4.28,4.17,0.817,3.18,1,1,2
722,722_5,electronics,specialist,255.87,8,1,0.001,0.92,82.6,4.02,4.49,0.816,4.12,1,1,2
722,722_6,electronics,balanced,180.97,11,0.959,0.018,0.942,83.8,4.24,3.92,0.849,2.21,0,3.18,3
722,722_7,electronics,budget,118.8,12,0.903,0.074,0.911,75,3.55,3.98,0.85,1.43,1,3.65,0
722,722_8,electronics,balanced,228.08,11,0.918,0.036,0.882,84.9,4.35,3.63,0.807,1.97,0,2.38,3
722,722_9,electronics,budget,165.17,19,0.928,0.057,0.863,89.3,4.3,2.99,0.822,3.46,0,1.78,1
723,723_1,automotive,premium,209.04,13,1,0.001,0.958,77.1,5,4.76,0.833,3.83,0,1.94,3
723,723_2,automotive,budget,105.25,16,0.911,0.07,0.85,87.9,4.14,4.01,0.875,2.53,1,2.14,0
723,723_3,automotive,specialist,180.73,9,1,0.001,0.931,85.7,4.68,3.09,0.852,1.23,1,3.53,4
723,723_4,automotive,specialist,183.43,16,1,0.001,0.94,90.3,3.73,4.2,0.912,4.03,1,2.44,4
723,723_5,automotive,premium,211.93,10,1,0.001,0.99,92.6,4.87,4.84,0.845,1.22,1,2.62,3
723,723_6,automotive,budget,138.81,20,0.943,0.013,0.881,92.2,4.2,3.35,0.887,4.17,1,2.69,0
724,724_1,automotive,budget,85.11,16,0.952,0.025,0.886,92.9,3.74,4.39,0.939,2.83,1,2.81,4
724,724_2,automotive,budget,147.47,19,0.938,0.047,0.858,82.3,4.24,3.53,0.803,2.62,0,3.52,3
724,724_3,automotive,budget,116.1,17,0.911,0.03,0.893,91.8,4.18,4.22,0.855,2.95,1,3.86,3
724,724_4,automotive,budget,108.57,14,0.915,0.075,0.876,84.7,4.24,4.27,0.851,4.32,1,1.33,2
724,724_5,automotive,budget,115.38,18,0.912,0.07,0.85,86.5,4.4,3.87,0.827,3.59,1,2.99,3
724,724_6,automotive,balanced,116.3,12,0.966,0.022,0.94,97.4,3.89,3.87,0.815,4.38,1,3.43,1
724,724_7,automotive,premium,238.07,14,0.998,0.001,0.932,76.3,5,4.68,0.929,3.31,1,1.18,3
724,724_8,automotive,specialist,186.31,19,1,0.001,0.943,90.8,4.74,3.17,0.858,3.34,0,2.56,1
724,724_9,automotive,specialist,188.71,10,1,0.001,0.937,84.6,5,4.05,0.873,2.51,0,1.91,2
725,725_1,machinery,specialist,348.96,20,1,0.001,0.984,85.8,4.03,4.13,0.85,4.63,1,1.89,2
725,725_2,machinery,balanced,330.24,25,0.975,0.016,0.919,89.5,4.13,4.13,0.91,3.47,1,1.76,1
725,725_3,machinery,specialist,392.55,23,0.984,0.001,0.879,79.5,3.94,4.18,0.918,3.26,1,2.29,3
725,725_4,machinery,balanced,313.2,27,0.964,0.017,0.94,88.5,4.17,3.72,0.9,3.36,1,1,3
725,725_5,machinery,specialist,341.01,17,1,0.001,0.978,77.4,4.72,3.85,0.838,2.56,1,1.4,2
